phase,replicate,trial_id,scenario_id,received_mask,arrival_order,method_order
pilot,0,8,iid_p00,31,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p25,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p10,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p40,7,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,8,iid_p15,15,G1|E1|L2|L1|E2,gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5|rs_2_5_gateway_check
pilot,0,9,iid_p30,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,shared_risk_matched_p20,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p35,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p60,7,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p10,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p55,7,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p40,23,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p15,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,heterogeneous_example,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p25,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p05,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p45,23,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p50,7,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p00,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,9,iid_p20,31,L2|E1|G1|L1|E2,rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5|rs_3_5
pilot,0,10,iid_p25,16,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p60,0,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p10,23,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p00,31,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p55,0,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,shared_risk_matched_p20,23,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p50,0,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p35,16,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p30,16,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p20,16,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p05,23,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p45,16,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,heterogeneous_example,17,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
pilot,0,10,iid_p15,18,L2|G1|L1|E2|E1,rs_3_5|rs_2_5_gateway_check|gatl_gateway|native|replication|shamir_3_5|gatl_uniform_3_5
