budget,method,n,successes,observed,ci_low,ci_high,application_bytes,send_mask,analytical_not_measured,processing_n,processing_mean,processing_sd,processing_median,processing_p95,processing_p99,processing_minimum,processing_maximum
2975,native,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.11127793090569561,0.07859719611648239,0.107298,0.18927349999999998,0.21376579999999995,0.033216,2.222963
2975,replication,1071,1025,0.9570494864612512,0.9431857386158777,0.9676462654586113,2640,3,0.9600000000000001,1071,0.2516402642390289,0.09525611134885194,0.231336,0.40748700000000004,0.4697163999999997,0.117647,2.102806
2975,rs_2_5_gateway_check,1071,816,0.7619047619047619,0.7354889890846561,0.7864484514524106,2328,7,0.7680000000000001,1071,16.80895492623716,5.3376590135942195,15.006153,29.922945,32.678145,11.391731,36.902696
2975,rs_3_5,1071,1019,0.9514472455648926,0.9368837058574129,0.9627838609863366,2975,31,0.9420800000000001,1071,16.174451977591037,5.181412063321483,14.062481,28.106216500000002,31.463442699999998,8.503468,35.451951
2975,shamir_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.49912256582633,14.861943463099994,45.821935,89.3401965,93.89624239999999,44.157314,105.224433
3880,gatl_gateway,1071,680,0.6349206349206349,0.6056518438363503,0.6632250194706233,2640,3,0.6400000000000001,1071,40.61570529971989,12.313833950113303,37.06607,72.3890835,75.50544769999998,30.31413,81.437496
3880,gatl_uniform_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.28465948552755,14.85611325152305,45.719937,90.354923,93.7518968,43.947564,109.702647
3880,native,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.10824026890756303,0.04265845073513587,0.106801,0.185037,0.2136396999999999,0.032772,0.525158
3880,replication,1071,1025,0.9570494864612512,0.9431857386158777,0.9676462654586113,2640,3,0.9600000000000001,1071,0.25157431092436977,0.10214728716903788,0.230862,0.405717,0.45022569999999984,0.115919,2.292902
3880,rs_2_5_gateway_check,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,3880,31,0.7987200000000001,1071,17.19533283286648,5.533158248238114,16.096994,31.411877,33.543448899999994,11.559238,42.849897
3880,rs_3_5,1071,1019,0.9514472455648926,0.9368837058574129,0.9627838609863366,2975,31,0.9420800000000001,1071,16.1314125200747,5.060786173963159,14.081982,27.767718000000002,31.467173499999998,8.545005,34.075789
3880,shamir_3_5,1071,0,0.0,0.0,0.003573977156509143,0,0,0.0,1071,52.747345600373485,15.15477782471202,45.861474,90.2018975,95.99847579999997,43.696207,109.522241
3960,gatl_gateway,1071,816,0.7619047619047619,0.7354889890846561,0.7864484514524106,3960,7,0.7680000000000001,1071,41.20110074789916,12.018857263734718,37.268615,73.337649,75.52707629999999,30.07569,81.986027
3960,gatl_uniform_3_5,1071,533,0.4976657329598506,0.4677830253305685,0.5275651258232902,3960,7,0.5120000000000001,1071,57.36267840336135,16.976350587982623,53.931028,103.734736,110.51449439999998,43.790906,124.321558
3960,native,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.10998333053221289,0.0785213498372186,0.106811,0.188225,0.21679099999999973,0.034917,2.278734
3960,replication,1071,1067,0.996265172735761,0.9904363955545035,0.9985466691351612,3960,7,0.9920000000000001,1071,0.2810626507936508,0.12525970817564613,0.256682,0.450585,0.5071522999999999,0.12671,2.545116
3960,rs_2_5_gateway_check,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,3880,31,0.7987200000000001,1071,17.17021502054155,5.437609620430918,16.091244,31.0726085,32.9267895,11.389506,41.191875
3960,rs_3_5,1071,1019,0.9514472455648926,0.9368837058574129,0.9627838609863366,2975,31,0.9420800000000001,1071,16.11032516339869,5.099263282145105,14.042837,27.59775,32.1832424,8.479916,35.187089
3960,shamir_3_5,1071,533,0.4976657329598506,0.4677830253305685,0.5275651258232902,3960,7,0.5120000000000001,1071,57.55010781605976,17.462622125441552,53.760928,104.783255,111.28578529999999,43.668655,126.953852
6600,gatl_gateway,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,6600,31,0.7987200000000001,1071,41.67544823716153,12.242187820683235,37.341781,72.455986,76.16283089999999,30.627321,83.680008
6600,gatl_uniform_3_5,1071,1019,0.9514472455648926,0.9368837058574129,0.9627838609863366,6600,31,0.9420800000000001,1071,62.99127758263305,18.295551603648132,55.164616,108.2327325,118.2561906,44.571224,131.079392
6600,native,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,1320,1,0.8000000000000002,1071,0.10874443510737627,0.04136459458419939,0.105791,0.1919555,0.2218686999999999,0.032934,0.275954
6600,replication,1071,1071,1.0,0.996426022843491,1.0,6600,31,0.99968,1071,0.3346658954248366,0.11579337492579159,0.303244,0.5387155,0.6039469,0.171137,2.65529
6600,rs_2_5_gateway_check,1071,845,0.7889822595704948,0.7635343765428614,0.8123645106094456,3880,31,0.7987200000000001,1071,17.08188444070962,5.318024483927335,16.081726,31.11152,33.12053569999999,11.253091,37.202253
6600,rs_3_5,1071,1019,0.9514472455648926,0.9368837058574129,0.9627838609863366,2975,31,0.9420800000000001,1071,16.152098500466852,5.088160239083629,14.073602,27.9588965,32.19474579999999,8.480435,35.160861
6600,shamir_3_5,1071,1019,0.9514472455648926,0.9368837058574129,0.9627838609863366,6600,31,0.9420800000000001,1071,62.711931086834745,18.16786610793057,54.928464,108.325288,114.20947899999997,44.610454,123.549431
