method,scenario_id,n,successes,failures,observed,ci_low,ci_high,analytical_not_measured,observed_minus_analytical,analytical_inside_pointwise_ci
gatl_uniform_3_5,iid_p45,1071,618,453,0.5770308123249299,0.54721971394732,0.6062912979753465,0.593126875,-0.016096062675070133,True
gatl_gateway,iid_p45,1071,551,520,0.5144724556489262,0.484541836062639,0.5442996267834377,0.5274465625,-0.012974106851073808,True
rs_2_5_gateway_check,iid_p45,1071,551,520,0.5144724556489262,0.484541836062639,0.5442996267834377,0.5274465625,-0.012974106851073808,True
native,iid_p50,1071,520,551,0.48552754435107376,0.4557003732165623,0.515458163937361,0.5,-0.014472455648926241,True
replication,iid_p50,1071,1033,38,0.9645191409897292,0.9516757258230084,0.9740421945591331,0.96875,-0.00423085901027076,True
rs_3_5,iid_p50,1071,510,561,0.47619047619047616,0.44641798447709075,0.5061331572922668,0.5,-0.023809523809523836,True
shamir_3_5,iid_p50,1071,510,561,0.47619047619047616,0.44641798447709075,0.5061331572922668,0.5,-0.023809523809523836,True
gatl_uniform_3_5,iid_p50,1071,510,561,0.47619047619047616,0.44641798447709075,0.5061331572922668,0.5,-0.023809523809523836,True
gatl_gateway,iid_p50,1071,495,576,0.46218487394957986,0.4325139540673502,0.49212609462515905,0.46875,-0.006565126050420145,True
rs_2_5_gateway_check,iid_p50,1071,495,576,0.46218487394957986,0.4325139540673502,0.49212609462515905,0.46875,-0.006565126050420145,True
native,iid_p55,1071,477,594,0.44537815126050423,0.41586025233298946,0.47528648466730167,0.44999999999999996,-0.004621848739495726,True
replication,iid_p55,1071,1011,60,0.9439775910364145,0.92855161751064,0.9562300330254571,0.9496715625,-0.005693971463585412,True
rs_3_5,iid_p55,1071,423,648,0.3949579831932773,0.36610669077959607,0.4245601111440404,0.4068731249999999,-0.011915141806722596,True
shamir_3_5,iid_p55,1071,423,648,0.3949579831932773,0.36610669077959607,0.4245601111440404,0.4068731249999999,-0.011915141806722596,True
gatl_uniform_3_5,iid_p55,1071,423,648,0.3949579831932773,0.36610669077959607,0.4245601111440404,0.4068731249999999,-0.011915141806722596,True
gatl_gateway,iid_p55,1071,442,629,0.4126984126984127,0.3835765628329334,0.4424442903213778,0.40882218749999993,0.0038762251984127416,True
rs_2_5_gateway_check,iid_p55,1071,442,629,0.4126984126984127,0.3835765628329334,0.4424442903213778,0.40882218749999993,0.0038762251984127416,True
native,iid_p60,1071,433,638,0.4042950513538749,0.3752964158709723,0.43397778143722987,0.4,0.004295051353874868,True
replication,iid_p60,1071,983,88,0.9178338001867413,0.8998552900546711,0.9328256534046419,0.9222400000000001,-0.004406199813258738,True
rs_3_5,iid_p60,1071,332,739,0.3099906629318394,0.2830125251560412,0.3383269787680478,0.31744000000000006,-0.007449337068160644,True
shamir_3_5,iid_p60,1071,332,739,0.3099906629318394,0.2830125251560412,0.3383269787680478,0.31744000000000006,-0.007449337068160644,True
gatl_uniform_3_5,iid_p60,1071,332,739,0.3099906629318394,0.2830125251560412,0.3383269787680478,0.31744000000000006,-0.007449337068160644,True
gatl_gateway,iid_p60,1071,388,683,0.3622782446311858,0.3340311491669467,0.39150976891070993,0.34816,0.014118244631185772,True
rs_2_5_gateway_check,iid_p60,1071,388,683,0.3622782446311858,0.3340311491669467,0.39150976891070993,0.34816,0.014118244631185772,True
native,heterogeneous_example,1071,950,121,0.8870214752567693,0.8666625702746775,0.904613968415569,0.9,-0.01297852474323069,True
replication,heterogeneous_example,1071,1071,0,1.0,0.996426022843491,1.0,0.9997375000000001,0.00026249999999994333,True
rs_3_5,heterogeneous_example,1071,1007,64,0.9402427637721755,0.9244115683991111,0.9529271239831597,0.9395125000000001,0.0007302637721754435,True
shamir_3_5,heterogeneous_example,1071,1007,64,0.9402427637721755,0.9244115683991111,0.9529271239831597,0.9395125000000001,0.0007302637721754435,True
gatl_uniform_3_5,heterogeneous_example,1071,1007,64,0.9402427637721755,0.9244115683991111,0.9529271239831597,0.9395125000000001,0.0007302637721754435,True
gatl_gateway,heterogeneous_example,1071,948,123,0.8851540616246498,0.8646670010771572,0.9028880585361762,0.8976375000000001,-0.012483438375350264,True
rs_2_5_gateway_check,heterogeneous_example,1071,948,123,0.8851540616246498,0.8646670010771572,0.9028880585361762,0.8976375000000001,-0.012483438375350264,True
native,shared_risk_matched_p20,1071,852,219,0.7955182072829131,0.7703271866607136,0.8185968772607893,0.8,-0.00448179271708693,True
replication,shared_risk_matched_p20,1071,1061,10,0.9906629318394025,0.982898152239946,0.9949204752189793,0.9887517146776406,0.0019112171617619023,True
rs_3_5,shared_risk_matched_p20,1071,933,138,0.8711484593837535,0.8497487607733111,0.8898952057631738,0.8638683127572017,0.007280146626551853,True
shamir_3_5,shared_risk_matched_p20,1071,933,138,0.8711484593837535,0.8497487607733111,0.8898952057631738,0.8638683127572017,0.007280146626551853,True
gatl_uniform_3_5,shared_risk_matched_p20,1071,933,138,0.8711484593837535,0.8497487607733111,0.8898952057631738,0.8638683127572017,0.007280146626551853,True
gatl_gateway,shared_risk_matched_p20,1071,849,222,0.7927170868347339,0.7674148179160357,0.8159270273900975,0.7989026063100138,-0.006185519475279899,True
rs_2_5_gateway_check,shared_risk_matched_p20,1071,849,222,0.7927170868347339,0.7674148179160357,0.8159270273900975,0.7989026063100138,-0.006185519475279899,True
